name,price,refrigerator type,url
LG RVT-B083WB,"₱19,998",Two Door,https://www.abenson.com/lg-rvt-b083wb.html
LG RVT-B101WB,"₱22,998",Two Door,https://www.abenson.com/lg-rvt-b101wb.html
LG RVT-B145DG,"₱29,998",Two Door,https://www.abenson.com/lg-rvt-b145dg.html
LG RVS-B245MC,"₱49,998",Two Door,https://www.abenson.com/lg-rvs-b245mc.html
LG GR-B202SQBB,"₱16,495",Two Door,https://www.abenson.com/gr-b202sqbb.html
LG RVS-Q245NS,"₱99,995",Two Door,https://www.abenson.com/lg-rvs-q245ns.html
LG GR X22FTQLL,"₱139,995",Multi Door,https://www.abenson.com/lg-gr-x22ftqll.html
Panasonic NR BV320XSPH,"₱29,999",Two Door,https://www.abenson.com/panasonic-nr-bv320xsph.html
Fujidenzo RDD-60S,"₱11,498",Two Door,https://www.abenson.com/fujidenzo-rdd-60s.html
Toshiba GR-RS682WE,"₱47,998",Two Door,https://www.abenson.com/toshiba-gr-rs682we.html
Samsung RT22FARBDS9,"₱18,495",Two Door,https://www.abenson.com/samsung-rt22farbds9.html
Condura CSD510MNI,"₱12,495",Single Door,https://www.abenson.com/condura-csd510mni.html
Samsung RB27N4020S9/TC,"₱22,995",Two Door,https://www.abenson.com/samsung-rb27n4020s9-tc.html
Panasonic NR-BP230VS,"₱17,499",Two Door,https://www.abenson.com/panasonic-nr-bp230vs.html
Fujidenzo RDD 35T,"₱8,798",Two Door,https://www.abenson.com/rdd-35t.html
Kelvinator KSD157SA,"₱10,195",Single Door,https://www.abenson.com/kelvinator-ksd157sa.html
Condura CTD700MNI-A,"₱17,395",Two Door,https://www.abenson.com/condura-ctd700mni-a.html
Fujidenzo IFCG-55PDFSL,"₱15,450",Two Door,https://www.abenson.com/fujidenzo-ifcg-55pdfsl.html
LG GR V204SLBT,"₱16,495",Two Door,https://www.abenson.com/gr-v204slbt.html
Midea FP-20RWC096LMNV-T1,"₱19,995",Two Door,https://www.abenson.com/midea-fp-20rwc096lmnv-t1.html
Samsung RT20FARVDSA,"₱17,495",Two Door,https://www.abenson.com/rt20farvdsa.html
Panasonic NR-BP272VD,"₱21,999",Two Door,https://www.abenson.com/panasonic-nr-bp272vd.html
Panasonic NR AQ301FB,"₱21,999",Two Door,https://www.abenson.com/panasonic-nr-aq301fb.html
Fujidenzo RDD 50S,"₱10,598",Two Door,https://www.abenson.com/fujidenzo-rdd-50s.html
